Description,TotalSalesDollars,ProfitMargin
Benvolio Pnt Grigio Friuli,4306.049999999994,0.8934708143193877
Benvolio Toscana Rosso,649.5,0.35113163972286376
Benziger Pnt Nr Sonoma,2158.9200000000005,0.34217108554277165
Beran Znfdl Sonoma Cty,2519.159999999998,0.21952555613775973
Berentzen Apple Liqueur,9077.409999999958,0.8150639885165474
Berentzen Bushel & Barrel,1333.5800000000013,0.8482036799317767
Beringer Classic Wh Zin Spkl,6043.039999999962,0.30586095739892033
Beringer Fndrs Est Svgn Bl,7779.649999999936,0.4873818230897233
Beringer KVR Cab Svgn,7898.419999999984,0.29772283570638053
Beringer Luminus Chard,9945.249999999973,0.2714190191297333
Berkshire Mtn Ethereal Gin,1832.4100000000003,0.8636113096959741
Bertani Amarone 04,5984.369999999993,0.9264133066638592
Bertani Amarone 1993,2039.88,0.8333284310841814
Bertani Amarone Valpolicell,8799.119999999994,0.5654906399730879
Bertani Secco 11 Orig V Ed,1524.3900000000003,0.8764620602339297
Bertani Villa Arvedi Amarone,5998.139999999997,0.4680530904975522
Bex Rsl Mosel,5667.109999999963,0.47516106092875904
Beyond Svgn Bl,195.45000000000002,0.4090560245587107
Big Claw White,194.85,0.35026943802925325
Big House Birdman Pnt Grigio,8567.639999999916,0.2748960040337758
Big House White,6171.209999999951,0.49061669660202656
Big Peat Scotch,8139.629999999982,0.4777109033211573
Bigi Orvieto Clsc Vendemmia,419.65000000000003,0.3231502442511617
Billette Bousquet Prov Rose,1067.1100000000001,0.2276709992409406
Binyamina Cab Svgn,2280.319999999999,0.04266944990176768
Binyamina Chard,1673.6700000000008,0.1575459917426977
Biokult Gruner Veltliner,279.80000000000007,0.18341672623302382
Bird Dog Chocolate Whiskey,8970.269999999942,0.48157190363277474
Bird Dog Hot Cinnamon Whisky,152.91,0.24249558563861096
Bird Dog Maple Whiskey,1865.4600000000007,0.31443182914669887
Bisol Crede Prosseco Super V,263.88,0.3460663938153706
Bitch Vodka,945.5700000000002,0.3935086773057522
Black & White Scotch,3481.7099999999914,0.17758802427542608
Black Box Moscato B/B,134.91,0.7076569564895115
Black Button Citrus Gin,9032.829999999967,0.7371366448831642
Black Pearl Oro,8298.959999999952,0.21093727406807103
Black Stallion Chard Napa Vy,2670.3299999999967,0.09579714866701776
Blackbird Vyds Arise Red,3550.3299999999963,0.3451538307706603
Blackstone Delectable Red,4646.639999999972,0.398907597748047
Blackstone Montry Pnt Grigio,5561.659999999959,0.37251468086865686
Blackstone Syrah Cal,1527.2400000000014,0.26761347266965296
Blackstone Winemakers Malbec,419.30000000000007,0.8325542570951586
Blackstone Znfdl Cal,3721.709999999982,0.3320247950538831
Bleu de Mer Rose,9404.759999999942,0.2970219335740583
Bliss Cab Svgn,363.7400000000001,0.05778853026887377
Bliss Chard,5570.559999999966,0.3554687499999958
Bliss Merlot,167.88,0.32880629020729085
Blood Orange Liqueur,3158.8199999999943,0.8735762088374771
Bloom Gin,3782.2799999999907,0.8557774675592497
Blossom Hill Chard,7154.4899999999725,0.30392522737469535
Blossom Hill Merlot,791.28,0.21656050955414
Blossom Hill Wh Znfdl,263.76,0.19358507734303915
Blue Chair Bay Coc Spced Rum,645.6600000000001,0.3625127776228975
Blue Chair Bay CocSpc Cream,2803.349999999999,0.8472684466798651
Blue Current Junmai Ginjo,5298.20999999998,0.07578597299842423
Bluebird Chardonnay,215.76,0.32480533926585087
Bluebird Pinot Noir,9959.209999999917,0.3447311583950879
Bluegray Priorat DOQ,2356.6899999999987,0.30118938002028234
Bocelli Prosecco,4728.509999999982,0.39373925401447574
Bocelli Sangiovese,431.76,0.3240689271817677
Bodega Elena de Mendoza Mlbc,1013.5500000000005,0.9671254501504613
Bodega Garzon Albarino,179.88,0.3509006004002668
Bodega Noemia D Patagonia 13,2873.8499999999954,0.13066096003618702
Bodegas Borsao 14 Rose,8417.119999999939,0.3974661166764834
Bodegas Faustino V RSV Rioj,6701.009999999969,0.3557239878764512
Bodegas Jeromin Zesto Rosada,287.76,0.3102585487906589
Bodegas Numanthia Termes,815.6600000000002,0.20127258906897513
Bodini Malbec Mendoza,457.62,0.2804073248546829
Boen Pnt Nr RRV,1949.3500000000004,0.011193474747993353
Bolla Bardolino,6721.7899999999345,0.3640265465002568
Bolla Merlot,4383.839999999985,0.38995264425708714
Bolla Prosecco 3pk/187mls,1573.9500000000007,0.9474443279646748
Bolla Soave,2132.5000000000005,0.3224853458382183
Bolla Torr'Alta Veronese Ros,2050.92,0.4113861096483529
Bolla Valpo Ripasso Cls Sup,683.4599999999999,0.428759547010798
Bollinger Brut Grande Annee,7787.409999999998,0.8155176111184592
Bollinger R.D. 2002,3359.879999999999,0.6136945367096442
Bols Amaretto Liqueur,5155.949999999982,0.4313306545376513
Bols Anisette,1588.410000000001,0.15676682972280517
Bols Apricot Flavored Brand,670.3900000000001,0.23111919927206573
Bols Blackberry Brandy,560.4900000000001,0.23791682278006754
Bols Brown Creme de Cacao,1998.0000000000014,0.250450450450451
Bols Butterscotch,319.68000000000006,0.2361111111111113
Bols Cherry Flavored Brandy,2593.639999999997,0.35243133202757443
Bols Creme De Noyaux,1108.89,0.1534958381805228
Bols Creme de Banana,2467.5299999999943,0.3090458879932549
Bols Creme de Cassis,1828.1700000000014,0.3216166986658795
Bols Genever Amsterdam,164.95000000000002,0.2000606244316461
Bols Green Creme De Menthe,4795.199999999956,0.2765890890890825
Bols Lychee,139.85999999999999,0.28028028028028024
Bols Maraschino Liqueur,218.31,0.1901424579726077
Bols Melon Liqueur,869.1300000000005,0.45400572986779913
Bols Peach Flavored Brandy,2329.879999999997,0.18131835115971517
Bols Peach Schnapps,6088.969999999933,0.4998554757017546
Bols Peppermint Schnapps,1318.680000000001,0.3719173719173724
Bols Pomegranate Liqueur,465.0100000000003,0.5046558138534658
Bols Pumpkin Spice,6183.809999999971,0.6718657267930274
Bols Sloe Gin,1338.6600000000008,0.32351754739814476
Bols Strawberry Liqueur,1568.430000000001,0.362980815210115
Bols White Creme De Cacao,3786.209999999984,0.1474429574693391
Bols White Creme De Menthe,219.78000000000003,0.1304941304941305
Bols Yogurt Liqueur,1857.5700000000004,0.6633881899470815
Bon Affair Svgn Bl Spritzer,9076.909999999983,0.4458391276502203
Bonal Apertif,56.97,0.35492364402317006
Bongiovanni Dolceo D'Alba,815.5200000000002,0.8310771041789289
